name,platform,year,genre,publisher,critic_score,user_score,total_sales,na_sales,jp_sales,pal_sales,other_sales
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,51.8,8.65,12.12,7.97,0.13,2.81,1.21
Pac-Man,2600,1982.0,Puzzle,Atari,,,7.81,7.28,0.0,0.45,0.08
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,50.15,,9.915,7.0600000000000005,0.08,1.98,0.795
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,53.2,8.25,20.68,6.695,0.985,9.469999999999999,3.54
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,53.25,,13.1,6.99,0.3,4.51,1.3
Super Mario 64,N64,1996.0,Platform,Nintendo,,,11.89,6.91,1.91,2.85,0.23
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,52.15,8.65,14.98,6.85,1.87,5.09,1.16
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,52.3,,8.49,6.82,0.05,1.53,0.08
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,54.0,,11.05,6.779999999999999,0.14,3.09,1.0350000000000001
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,39.95,,10.33,6.745,0.04,2.6,0.9450000000000001
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,48.4,,9.835,6.6850000000000005,0.04,2.32,0.7849999999999999
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,51.1,9.3,12.84,6.62,2.66,2.55,1.01
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,,,18.25,6.38,6.04,4.46,1.36
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,,,11.18,6.16,2.69,2.04,0.29
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,,,15.85,6.06,5.38,3.9,0.5
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,53.35,9.25,11.35,6.06,1.2,3.35,0.74
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,,,14.86,6.105,0.385,5.955,2.41
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,48.4,,12.65,6.0,0.48,4.385,1.7850000000000001
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,,,10.55,5.99,2.12,2.15,0.29
Just Dance 3,Wii,2011.0,Misc,Ubisoft,40.75,,10.12,5.95,0.0,3.11,1.06
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,51.8,8.7,9.36,5.955,0.13,2.375,0.905
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,,,14.64,5.89,3.12,5.04,0.59
Just Dance 2,Wii,2010.0,Misc,Ubisoft,40.65,,9.44,5.8,0.01,2.85,0.78
GoldenEye 007,N64,1997.0,Shooter,Nintendo,,,8.09,5.8,0.13,2.01,0.15
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,,,9.18,5.7,0.02,2.65,0.81
Mario Kart 64,N64,1996.0,Racing,Nintendo,,,9.87,5.55,2.23,1.94,0.15
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,48.35,,13.335,5.54,0.49,5.755000000000001,1.5550000000000002
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,,,15.14,5.51,5.65,3.17,0.8
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,,,7.46,5.39,0.7,1.18,0.19
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,,,14.6,5.28,4.35,4.19,0.78
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,52.65,,8.835,5.074999999999999,0.1,2.81,0.85
Mario Kart 7,3DS,2011.0,Racing,Nintendo,46.6,8.25,12.66,5.03,2.69,4.02,0.91
Super Mario 64,DS,2004.0,Platform,Nintendo,,,10.3,5.01,1.25,3.07,0.97
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,46.15,,13.795,4.99,0.65,5.805,2.3499999999999996
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,51.75,7.65,10.605,4.99,0.38,3.6500000000000004,1.5950000000000002
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,53.25,,6.43,4.98,0.08,1.3,0.07
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,49.45,8.4,10.81,4.89,2.14,3.0,0.78
Call of Duty: World at War,X360,2008.0,Shooter,Activision,46.25,7.7,7.4399999999999995,4.845,0.0,1.895,0.7
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,54.0,,10.535,4.775,0.44,3.71,1.6150000000000002
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,42.55,,20.15,4.74,4.16,9.2,2.04
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,,,7.38,4.609999999999999,0.015,2.075,0.68
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,,,6.03,4.47,0.16,1.2,0.19
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,46.25,,7.335,4.465,0.06,2.115,0.69
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,50.6,,7.07,4.41,1.39,1.04,0.22
Mario Party DS,DS,2007.0,Misc,Nintendo,39.55,,8.91,4.4,1.98,1.85,0.68
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,,,9.3,4.36,3.0,1.71,0.23
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,,,11.68,4.35,3.1,3.49,0.74
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,,,11.77,4.34,3.96,2.71,0.76
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,,,10.49,4.34,3.15,2.65,0.35
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,45.85,,6.34,4.34,0.06,1.34,0.61
Madden NFL 2004,PS2,,Sports,Electronic Arts,51.75,,5.23,4.26,0.01,0.26,0.71
Pitfall!,2600,1981.0,Platform,Activision,,,4.5,4.21,0.0,0.24,0.05
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,50.25,,4.53,4.18,0.01,0.26,0.08
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,51.2,8.6,6.75,4.15,0.06,1.9,0.64
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,,,6.95,4.12,0.87,1.77,0.19
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,38.95,,9.745000000000001,4.105,0.385,3.82,1.435
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,,,7.6,4.1,1.45,1.89,0.16
Just Dance 4,Wii,2012.0,Misc,Ubisoft,,,6.824999999999999,4.05,0.0,2.185,0.585
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,50.05,,6.21,4.05,0.07,1.59,0.5
Half-Life,PC,1997.0,Shooter,Vivendi Games,52.75,,4.12,4.03,0.09,0.0,0.0
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,52.75,,10.95,4.02,2.54,3.87,0.52
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,50.6,,6.31,4.01,0.87,1.26,0.17
Asteroids,2600,1980.0,Shooter,Atari,,,4.31,4.0,0.0,0.26,0.05
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,48.55,,4.91,3.98,0.01,0.26,0.66
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,53.2,8.3,16.0,5.01,0.49,8.01,2.495
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,40.2,,6.19,3.92,0.03,1.73,0.51
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,51.1,,9.49,3.88,1.69,3.42,0.5
Guitar Hero II,PS2,2006.0,Misc,RedOctane,50.6,,5.12,3.81,0.0,0.63,0.68
Frogger,PS,1997.0,Action,Hasbro Interactive,,,4.16,3.79,0.0,0.27,0.11
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,,,7.58,3.78,1.31,2.17,0.31
Mario Party 8,Wii,2007.0,Misc,Nintendo,34.25,,8.27,3.74,1.58,2.24,0.7
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,52.25,9.3,7.15,3.74,0.6,2.14,0.68
The Legend of Zelda,NES,1986.0,Action,Nintendo,,,6.51,3.74,1.69,0.93,0.14
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,52.25,,6.41,3.7350000000000003,0.09,1.9899999999999998,0.59
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,50.15,,7.13,3.68,1.42,1.75,0.28
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,42.75,7.25,9.9,3.66,2.47,3.14,0.63
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,46.75,,6.4,3.64,1.49,1.2,0.07
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,46.25,,4.49,3.63,0.01,0.24,0.61
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,43.9,,5.1,3.59,0.05,1.085,0.375
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,44.0,,5.65,3.57,0.0,1.56,0.515
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,53.35,9.45,7.51,3.56,0.98,2.35,0.62
Super Mario Kart,SNES,1992.0,Racing,Nintendo,,,8.76,3.54,3.81,1.24,0.18
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,51.7,8.85,6.09,3.54,0.07,1.88,0.6
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,45.1,,4.98,3.49,0.01,0.01,1.48
Just Dance,Wii,2009.0,Misc,Ubisoft,27.2,,7.2,3.48,0.0,2.99,0.73
Zumba Fitness,Wii,2010.0,Sports,505 Games,,,6.71,3.45,0.0,2.59,0.66
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,42.5,,15.29,3.43,5.32,5.35,1.18
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,50.8,,5.02,3.42,0.02,1.38,0.2
Super Mario Bros.,GB,1999.0,Platform,Nintendo,,,5.07,3.4,0.15,1.3,0.22
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,51.0,8.55,4.945,3.4050000000000002,0.09,0.99,0.455
Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,,,4.17,3.38,0.31,0.44,0.04
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,,,5.0,3.36,0.07,1.36,0.21
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,52.2,,4.14,3.36,0.01,0.21,0.56
Donkey Kong 64,N64,1999.0,Platform,Nintendo,,,5.27,3.33,1.09,0.79,0.06
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,44.6,7.85,5.545,3.28,0.07,1.64,0.56
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,,,7.55,3.27,2.43,1.37,0.48
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,46.8,,7.2,3.27,0.08,2.83,1.02
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,52.8,,7.16,3.27,1.4,2.22,0.29
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,52.75,9.2,6.7,3.275,0.21,2.21,1.0
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,,,6.82,3.23,0.94,2.35,0.3
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,44.75,5.55,5.244999999999999,3.2350000000000003,0.01,1.52,0.48
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,,,5.12,3.22,0.0,1.69,0.2
Super Mario World,GBA,2001.0,Platform,Nintendo,,,5.46,3.21,0.95,1.11,0.2
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,46.6,,4.53,3.19,0.01,0.91,0.42
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,51.65,,6.03,3.18,0.78,1.83,0.24
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,,,5.45,3.18,0.94,1.24,0.09
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,47.8,,6.44,3.17,1.03,1.79,0.46
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,48.4,9.0,7.09,3.15,1.28,2.15,0.51
Super Mario Advance,GBA,2001.0,Platform,Nintendo,46.1,,5.49,3.14,0.91,1.24,0.2
Assassin's Creed III,X360,2012.0,Action,Ubisoft,46.4,,5.3,3.13,0.03,1.7,0.445
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,51.8,8.7,6.699999999999999,3.12,0.28,2.2649999999999997,1.0350000000000001
Driver,PS,1999.0,Action,GT Interactive,47.75,,6.27,3.11,0.02,2.8,0.33
Assassin's Creed II,X360,2009.0,Action,Ubisoft,49.5,,5.279999999999999,3.125,0.08,1.55,0.515
Cooking Mama,DS,2006.0,Simulation,505 Games,36.8,,5.645,3.08,0.07,1.915,0.575
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,37.45,,4.98,3.05,0.29,1.17,0.46
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,53.65,,4.68,3.05,0.02,1.41,0.2
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,47.1,,4.6,3.04,0.0,1.1150000000000002,0.435
Sonic the Hedgehog,GEN,1991.0,Platform,Sega,,,4.34,3.03,0.26,0.91,0.13
Pokemon Pinball,GB,1999.0,Misc,Nintendo,,,5.31,3.02,1.01,1.12,0.16
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,48.85,,11.66,3.01,1.1,0.01,7.53
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,50.8,9.35,9.72,3.01,3.28,2.47,0.96
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,43.75,,4.24,3.0,0.05,1.11,0.07
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,,,8.004999999999999,3.1500000000000004,0.225,3.34,1.29
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,50.6,8.9,5.495,2.99,0.1,1.9,0.505
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,51.8,,4.74,2.99,0.04,1.275,0.43
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,,,7.14,2.98,2.26,1.45,0.45
Tetris,NES,1988.0,Puzzle,Nintendo,,,5.58,2.97,1.81,0.69,0.11
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,46.15,,10.7,2.96,0.81,4.82,2.11
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,,,5.55,2.95,1.97,0.6,0.04
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,48.5,,6.83,2.93,0.17,2.75,0.99
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,,,5.2,2.93,0.83,1.25,0.2
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,50.5,9.35,8.05,2.91,2.73,2.07,0.33
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,,,4.88,2.91,0.89,0.99,0.1
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,48.4,,7.705,2.9,0.24,2.8200000000000003,1.7349999999999999
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,46.75,,7.1899999999999995,2.855,0.35,2.915,1.0750000000000002
Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,49.05,,3.51,2.8600000000000003,0.03,0.385,0.245
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,44.0,,4.765,2.83,0.0,1.4849999999999999,0.45
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,51.6,,4.425,2.855,0.13,1.03,0.405
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,45.75,5.7,7.595000000000001,2.825,0.14,3.41,1.225
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,53.2,8.1,7.1000000000000005,3.755,0.005,2.7199999999999998,0.615
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,52.2,8.0,5.82,2.8,0.17,1.98,0.87
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,,,8.07,2.79,3.14,1.72,0.41
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,52.25,,6.53,2.8049999999999997,0.17,2.5549999999999997,0.995
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,,,5.01,2.79,0.0,1.89,0.33
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,46.3,6.4,4.48,2.78,0.03,1.27,0.41
Star Fox 64,N64,1997.0,Shooter,Nintendo,,,4.03,2.78,0.64,0.58,0.04
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,50.65,7.3,6.74,2.77,0.19,2.75,1.03
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,,5.3,4.3149999999999995,2.79,0.0,1.12,0.405
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,,,7.72,2.76,2.69,1.72,0.54
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,50.6,9.05,4.8,2.74,0.12,1.33,0.61
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,46.75,7.7,5.41,2.74,0.0,1.835,0.835
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,45.15,,6.9,2.71,0.08,3.02,1.09
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,52.8,,5.51,2.715,0.11,1.87,0.815
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,,,5.13,2.71,1.7,0.61,0.11
Spider-Man: The Movie,PS2,2002.0,Action,Activision,42.1,,4.48,2.71,0.03,1.51,0.23
God of War,PS2,2005.0,Action,Sony Computer Entertainment,51.65,,4.45,2.71,0.02,1.29,0.43
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,49.0,,3.97,2.67,0.05,0.87,0.38
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,53.05,,4.41,2.66,0.01,1.29,0.46
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,46.15,,4.0649999999999995,2.665,0.04,1.03,0.335
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,48.8,8.2,3.51,2.66,0.05,0.49,0.3
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,46.9,,6.475,2.645,0.16,2.565,1.1
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,30.8,,4.365,2.64,0.01,1.33,0.39
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,51.65,9.25,5.99,2.63,0.83,1.71,0.82
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,51.15,,5.47,2.62,0.99,1.64,0.23
Dr. Mario,NES,1990.0,Puzzle,Nintendo,,,4.85,2.62,1.52,0.6,0.1
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,45.1,7.55,3.28,2.61,0.0,0.33,0.34
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,,,4.87,2.6,0.81,1.08,0.38
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,52.8,,4.6,2.6,0.89,0.99,0.13
NBA 2K13,X360,2012.0,Sports,Take-Two Interactive,48.3,,3.0549999999999997,2.6100000000000003,0.01,0.20500000000000002,0.23500000000000001
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,,,7.99,2.57,0.66,3.86,0.91
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,,,6.41,2.57,2.06,1.58,0.21
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,51.15,,4.84,2.57,0.0,1.68,0.58
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,48.6,,4.79,2.57,0.44,1.57,0.21
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,50.1,,4.09,2.57,0.0,1.52,0.0
Missile Command,2600,1980.0,Shooter,Atari,,,2.76,2.56,0.0,0.17,0.03
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,50.65,,6.45,2.5599999999999996,0.25,2.64,0.995
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,,,6.39,2.55,1.29,1.56,0.99
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,50.0,,5.5600000000000005,2.54,0.21,1.94,0.86
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,47.8,6.55,7.82,2.7199999999999998,0.255,3.62,1.2349999999999999
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,45.0,,3.65,2.53,0.06,0.81,0.24
Madden NFL 13,X360,2012.0,Sports,Electronic Arts,44.5,,2.895,2.53,0.0,0.155,0.20500000000000002
Nintendo Land,WiiU,2012.0,Misc,Nintendo,42.4,7.9,4.42,2.52,0.46,1.11,0.33
Madden NFL 10,X360,2009.0,Sports,Electronic Arts,46.8,,2.83,2.52,0.0,0.09,0.22
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,49.0,7.9,4.27,2.51,0.11,1.24,0.41
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,48.3,6.4,4.625,2.7249999999999996,0.015,1.4700000000000002,0.41500000000000004
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,47.25,,12.13,2.5,5.33,3.45,0.86
Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,51.6,,3.08,2.5,0.01,0.16,0.42
Destiny,PS4,2014.0,Shooter,Activision,41.8,6.1,5.699999999999999,2.51,0.16,2.0999999999999996,0.9299999999999999
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,,,5.19,2.49,1.57,0.98,0.15
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,47.85,6.7,3.9299999999999997,2.5250000000000004,0.04,0.66,0.7
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,,,6.3,2.47,2.87,0.83,0.12
WWF War Zone,PS,1998.0,Fighting,Acclaim Entertainment,,,3.36,2.47,0.0,0.76,0.13
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,52.75,7.85,6.05,2.45,0.87,2.01,0.72
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,46.8,,4.21,2.45,0.0,1.01,0.75
Diablo III,PC,2012.0,Role-Playing,Activision,48.5,4.05,5.14,2.44,0.0,2.16,0.54
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,,,4.61,2.42,1.15,0.91,0.13
Madden NFL 12,X360,2011.0,Sports,Electronic Arts,42.9,,2.6950000000000003,2.425,0.0,0.11,0.16
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,52.25,,5.87,2.41,0.28,2.18,0.99
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,42.25,,3.76,2.4,0.0,1.01,0.36
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,46.15,,3.46,2.415,0.03,0.715,0.295
Luigi's Mansion,GC,2001.0,Action,Nintendo,42.95,,3.6,2.38,0.46,0.67,0.1
Madden NFL 11,X360,2010.0,Sports,Electronic Arts,46.15,,2.69,2.38,0.0,0.12,0.185
Driver 2,PS,2000.0,Action,Atari,34.5,,4.73,2.36,0.02,2.1,0.25
Space Invaders,2600,,Shooter,Atari,,,2.53,2.36,0.0,0.14,0.03
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,49.55,,4.05,2.35,0.03,1.27,0.41
Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,45.6,5.9,3.27,2.365,0.0,0.305,0.605
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,51.15,9.35,4.07,2.32,0.04,0.04,1.67
Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,47.2,,3.62,2.32,0.0,0.96,0.34
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,48.35,8.35,4.945,2.315,0.12,1.725,0.785
Star Wars Episode I Racer,N64,1999.0,Racing,Nintendo,,,3.12,2.31,0.14,0.62,0.04
NBA 2K12,X360,2011.0,Sports,Take-Two Interactive,49.55,,2.63,2.315,0.01,0.14,0.165
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,46.3,,5.24,2.3,0.2,2.46,0.28
